index,ordernumber,quantityordered,priceeach,orderlinenumber,sales,orderdate,status,qtr_id,month_id,year_id,productline,msrp,productcode,customername,phone,city,country,territory,dealsize,address,contactname,Customer Value,CLTV,Recency,Frequency,Monetary
0,10107,30.0,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95.0,S10_1678,Land of Toys Inc.,2125557818,NYC,USA,AMER,Small,897 Long Airport Avenue  ,Kwai Yu,High Value,416394.51,204,4,138798.17
1,10121,34.0,81.35,5,2765.8999999999996,2003-05-07,Shipped,2,5,2003,Motorcycles,95.0,S10_1678,Reims Collectables,26.47.1555,Reims,France,EMEA,Small,59 rue de l'Abbaye  ,Paul Henriot,High Value,349508.19,69,5,116502.73
2,10134,41.0,94.74,2,3884.3399999999997,2003-07-01,Shipped,3,7,2003,Motorcycles,95.0,S10_1678,Lyon Souveniers,+33 1 46 62 7555,Paris,France,EMEA,Medium,27 rue du Colonel Pierre Avia  ,Daniel Da Cunha,Low Value,177410.09999999998,82,3,59136.7
3,10145,45.0,83.26,6,3746.7000000000003,2003-08-25,Shipped,3,8,2003,Motorcycles,95.0,S10_1678,Toys4GrownUps.com,6265557265,Pasadena,USA,AMER,Medium,78934 Hillside Dr.  ,Julie Young,Low Value,258674.84999999998,146,3,86224.95
4,10159,49.0,100.0,14,4900.0,2003-10-10,Shipped,4,10,2003,Motorcycles,95.0,S10_1678,Corporate Gift Ideas Co.,6505551386,San Francisco,USA,AMER,Medium,7734 Strong St.  ,Julie Brown,High Value,356534.85,104,4,118844.95
5,10168,36.0,96.66,1,3479.7599999999998,2003-10-28,Shipped,4,10,2003,Motorcycles,95.0,S10_1678,Technics Stores Inc.,6505556809,Burlingame,USA,AMER,Medium,9408 Furth Circle  ,Juri Hirano,High Value,307467.39,153,4,102489.13
6,10180,29.0,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95.0,S10_1678,Daedalus Designs Imports,20.16.1555,Lille,France,EMEA,Small,"184, chausse de Tournai  ",Martine Rance,Low Value,170569.16999999998,472,2,56856.39
7,10188,48.0,100.0,1,4800.0,2003-11-18,Shipped,4,11,2003,Motorcycles,95.0,S10_1678,Herkku Gifts,+47 2267 3215,Bergen,Norway,EMEA,Medium,"Drammen 121, PR 744 Sentrum  ",Veysel Oeztan,Low Value,259017.33000000002,277,3,86339.11
8,10201,22.0,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95.0,S10_1678,Mini Wheels Co.,6505555787,San Francisco,USA,AMER,Small,5557 North Pendale Street  ,Julie Murphy,Low Value,180729.84,201,3,60243.28
9,10211,41.0,100.0,14,4100.0,2004-01-15,Shipped,1,1,2004,Motorcycles,95.0,S10_1678,Auto Canal Petit,(1) 47.55.6555,Paris,France,EMEA,Medium,"25, rue Lauriston  ",Dominique Perrier,Low Value,239572.80000000002,61,3,79857.6
10,10223,37.0,100.0,1,3700.0,2004-02-20,Shipped,1,2,2004,Motorcycles,95.0,S10_1678,"Australian Collectors, Co.",03 9520 4555,Melbourne,Australia,APAC,Medium,636 St Kilda Road  Level 3,Peter Ferguson,High Value,493727.61,190,5,164575.87
11,10237,23.0,100.0,7,2300.0,2004-04-05,Shipped,2,4,2004,Motorcycles,95.0,S10_1678,Vitachrome Inc.,2125551500,NYC,USA,AMER,Small,2678 Kingston Rd.  Suite 101,Michael Frick,Low Value,202534.11,214,3,67511.37
